start	end	text
0	3400	A few days later
7680	9480	Yes, hello?
9480	11160	Yes, director.
11160	13120	Oh, I'm Lim Junbin.
13120	15080	Yes, yes, yes, yes.
15080	22840	Could you tell my father about it?
22840	24840	No, it's not anything else.
24840	29120	As soon as I got into the company,
29120	37360	I don't want the staff to be behind me when I become the director.
37360	41520	And I don't want to inherit the company.
41520	45040	Please tell your father.
45040	48720	No, if you tell your father, he'll understand.
48720	51000	I beg you.
51000	53000	Yes, yes.
59640	61360	Hello?
61360	62560	Hello?
62560	64520	What's this all of a sudden?
64520	65080	Why isn't it working?
65080	66520	Wait a minute.
66520	68240	I'll try the speaker phone.
68240	69200	Hello?
69200	70080	Hello?
70080	71160	It's not working all of a sudden.
71160	72320	I just called.
72320	73280	Why, why?
73280	74400	Where are you?
74400	76240	Oh, I'm just here. Why?
76240	77240	You didn't forget, did you?
77240	80480	I'm going to meet Kim Hee-yeon's daughter later.
80480	85120	Oh, I'm not going to go.
85120	86120	I'm not going to go.
86120	89920	Hurry up and go to the Silla Hotel Lounge in 30 minutes.
89920	94160	Can't you just go instead of me?
94160	97600	Why would I go instead of you?
97600	100400	I don't know why I have to go.
100400	105760	Hey, don't you know how helpful Kim Hee-yeon is to my father's business?
105760	108320	My father is my father.
108320	109400	I'm me.
109400	112040	And I'm not interested in business.
112040	115640	And I just have someone I love.
116000	117560	It's not up to you.
117560	119520	Go and meet her in 30 minutes.
119520	121120	Didn't you hear me?
121120	121920	Hurry up and find me and get married.
121920	123400	Didn't you hear me?
123400	125320	I'm with the person I love right now.
125320	127200	I'm with you right now.
127200	129800	You don't have anyone you love all of a sudden.
129800	131160	I'm sorry I didn't tell you in advance.
131160	132560	I have someone I love.
132560	134320	I don't want to get married because I don't want to.
134320	135200	That's what I know.
135200	137520	You're at the coffee shop you go to all the time, right?
137520	140800	No, it's not there. Don't think about coming.
140800	142000	I'm going to go now.
142000	144160	Wait there.
144160	145920	Hang up the phone.
145920	148880	I'm going crazy.
152000	154960	I think he's coming.
155920	157920	Oh, my God.
167120	169120	Why are you laughing so much?
169120	171120	Why are you laughing so much?
171120	173120	Why are you laughing so much?
173120	186080	Did I look like a child who doesn't have a job?
186080	191600	I'm a housewife's son.
191600	192800	I'm sorry, but...
192800	194160	I'm crying.
194160	196880	What?
196880	198240	Did something bad happen?
198240	199440	Did someone die?
199440	201680	No.
202240	204240	Did you go to the funeral?
204240	205040	Why?
205040	207520	Hang up the phone.
207520	211520	I have to go see Sunwoo.
211520	215120	Why?
215120	217520	You're lying to me that you have someone you love.
217520	222480	What's wrong with you?
222480	224480	I'm crying.
224480	226800	What's wrong with you?
226800	228800	Did something get on my face?
232640	234640	Where is it?
234640	236640	What?
236640	238640	Where is it?
238640	240640	Honey, do you want some more?
240640	242640	Is it him?
242640	244640	Is it him?
244640	246640	Who is it?
246640	248640	Who is it?
248640	250640	Who is it?
250640	252640	Is it him?
